"Warszawa : Difin, 2019",S. 65-75 - tab.,,,,65-75,,Difin,Warszawa,2019
"Granada : International Business Information Management Association (IBIMA), 2019","2019, nr 381 s. 102-119 - rys., tab. - Streszcz., summ. - Bibliogr. 18 poz.",381,,,102-119,381,International Business Information Management Association (IBIMA),Granada,2019
"Warszawa : Difin, 2019","2019, vol. 7, no. 3 s. 65-82 - rys., tab. - Summ. - Bibliogr. 42 poz.",3,7,,65-82,3,Difin,Warszawa,2019
"Granada : International Business Information Management Association (IBIMA), 2019","S. 15-36 - rys., tab.",,,,15-36,,International Business Information Management Association (IBIMA),Granada,2019
"Sofia : STEF92 Technology, 2019","2019, t. 104 (160) s. 85-102 - tab. - Streszcz., summ. - Bibliogr. 68 poz.",,104,,85-102,,STEF92 Technology,Sofia,2019
"Warszawa : Difin, 2019",S. 8417-8423 - Bibliogr. 34 poz.,,,,8417-8423,,Difin,Warszawa,2019
"Warszawa : Difin, 2019","S. 492-496 - summ., tab. - Bibliogr. 8 poz.",,,,492-496,,Difin,Warszawa,2019
"Warszawa : Wydawnictwo Placet, 2019",S. 122-133,,,,122-133,,Wydawnictwo Placet,Warszawa,2019
"Katowice : Publishing House of the University of Economics in Katowice, 2019","2019, vol. 57 s. 191-203 - Summ. - Bibliogr. 23 poz.",,57,,191-203,57,Publishing House of the University of Economics in Katowice,Katowice,2019
"Katowice : Publishing House of the University of Economics in Katowice, 2019","S. 165-194 - rys., tab.",,,,165-194,,Publishing House of the University of Economics in Katowice,Katowice,2019
"Katowice : Publishing House of the University of Economics in Katowice, 2019","S. 7355-7365 - rys., summ. - Bibliogr. 46 poz.",,,,7355-7365,,Publishing House of the University of Economics in Katowice,Katowice,2019
"Brno : Masaryk University, 2019","272 s. : rys., tab., Bibliogr. 293 poz., s. 254-269",,,,254-269,272,Masaryk University,Brno,2019
"Varazdin : Varazdin Development and Entrepreneurship Agency, 2019","S. 2517-2526 - rys., tab. - Bibliogr. 33 poz.",,,,2517-2526,,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
"Baku : Azerbaijan State University of Economics (UNEC), 2019",S. 279-287,,,,279-287,,Azerbaijan State University of Economics (UNEC),Baku,2019
"Koprivnica : University North, 2019","S. 383-392 - tab., summ. - Bibliogr. 10 poz.",,,,383-392,,University North,Koprivnica,2019
"Warsaw : Faculty of Management University of Warsaw, 2019","S. 72-97 - rys., tab.",,,,72-97,,Faculty of Management University of Warsaw,Warsaw,2019
"Rabat : Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat, 2019","2019, vol. 67, no. 5 s. 1309-1323 - rys., tab. - Summ. - Bibliogr. 46 poz.",5,67,,1309-1323,5,"Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat",Rabat,2019
"Varazdin : Varazdin Development and Entrepreneurship Agency, 2019",S. 19-36,,,,19-36,,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
"Baku : Azerbaijan State University of Economics (UNEC), 2019",S. 231-255 - tab.,,,,231-255,,Azerbaijan State University of Economics (UNEC),Baku,2019
"Koprivnica : University North, 2019","2019, nr 31 s. 100-117 - rys., tab. - Streszcz., summ. - Bibliogr. 38 poz.",31,,,100-117,31,University North,Koprivnica,2019
"Warsaw : Faculty of Management University of Warsaw, 2019","2019, nr 9 s. 2-8 - Streszcz., summ. - Bibliogr. 23 poz.",9,,,2-8,9,Faculty of Management University of Warsaw,Warsaw,2019
"Rabat : Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat, 2019","2019, t. 20, z. 12, cz. 1 s. 199-212 - Streszcz., summ. - Bibliogr. 27 poz.",,20,,199-212,1,"Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat",Rabat,2019
"Varazdin : Varazdin Development and Entrepreneurship Agency, 2019","2019, t. 20, z. 12, cz. 1 s. 141-156 - tab. - Streszcz., summ. - Bibliogr. 30 poz.",,20,,141-156,1,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
"Cham : Springer, 2019","S. 177-188 - rys., summ., tab. - Bibliogr. 32 poz.",,,,177-188,,Springer,Cham,2019
"Cham : Springer, 2019","2019, vol. 21, no. 4 s. 13-18 - tab. - Summ. - Bibliogr. 21 poz.",4,21,,13-18,4,Springer,Cham,2019
"Częstochowa : Wydawnictwo Politechniki Częstochowskiej, 2019","2019, vol. 24, iss. 6 s. 748-766 - Summ. - Bibliogr. 156 poz.",6,24,,748-766,6,Wydawnictwo Politechniki Częstochowskiej,Częstochowa,2019
"Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019","S. 165-176 - rys., summ., tab. - Bibliogr. 22 poz.",,,,165-176,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
"Cham : Springer, 2019","S. 39-50 - rys., summ., tab. - Bibliogr. 21 poz.",,,,39-50,,Springer,Cham,2019
"Częstochowa : Wydawnictwo Politechniki Częstochowskiej, 2019","2019, No. 2 (69) s. 146-159 - rys., tab. - summ. - Bibliogr. 38 poz.",2,,,146-159,,Wydawnictwo Politechniki Częstochowskiej,Częstochowa,2019
"Varazdin : Varazdin Development and Entrepreneurship Agency, 2019","2019, No. 2 (69) s. 42-57 - rys., tab. - Summ. - Bibliogr. 77 poz.",2,,,42-57,,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
"Cham : Springer, 2019","2019, z. 273/274 s. 97-121 - rys., tab. - Summ. - Bibliogr. 11 poz.",,,,97-121,274,Springer,Cham,2019
"Varazdin : Varazdin Development and Entrepreneurship Agency, 2019","2019, z. 273/274 s. 84-96 - tab. - Summ. - Bibliogr. 15 poz.",,,,84-96,274,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
"Koprivnica : University North, 2019","2019, z. 273/274 s. 223-237 - tab. - Summ. - Bibliogr. 28 poz.",,,,223-237,274,University North,Koprivnica,2019
"Warsaw : Faculty of Management University of Warsaw, 2019","2019, t. 20, z. 12, cz. 1 s. 259-272 - Streszcz., summ. - Bibliogr. 36 poz.",,20,,259-272,1,Faculty of Management University of Warsaw,Warsaw,2019
"Rabat : Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat, 2019","2019, z. 273/274 s. 122-132 - rys. - Summ. - Bibliogr. 15 poz.",,,,122-132,274,"Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat",Rabat,2019
"Cham : Springer, 2019","2019, z. 273/274 s. 238-249 - rys., tab. - Summ. - Bibliogr. 14 poz.",,,,238-249,274,Springer,Cham,2019
"Częstochowa : Wydawnictwo Politechniki Częstochowskiej, 2019","2019, nr 4 (54) s. 19-28 - rys., tab. - Streszcz., summ. - Biblogr. 16 poz.",4,,,19-28,,Wydawnictwo Politechniki Częstochowskiej,Częstochowa,2019
"Varazdin : Varazdin Development and Entrepreneurship Agency, 2019",97 s. ; Bibliogr. przy rozdz.,,,,,97,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
"Koprivnica : University North, 2019",S. 75-85 - Bibliogr. 25 poz.,,,,75-85,,University North,Koprivnica,2019
"Warsaw : Faculty of Management University of Warsaw, 2019","2019, vol. 11, iss. 20 (5821) 21 s. - tab. - Summ. - Bibliogr. 104 poz.",20,11,,,21,Faculty of Management University of Warsaw,Warsaw,2019
"Rabat : Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat, 2019","2019, vol. 63, nr 2 s. 16-24 - rys. - Streszcz., summ. - Bibliogr. 17 poz.",2,63,,16-24,2,"Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat",Rabat,2019
"Cham : Springer, 2019",S. 5-16 - Summ. - Bibliogr. 14 poz.,,,,5-16,,Springer,Cham,2019
"Cham : Springer, 2019","2019, vol. 11, iss. 19 (5207) 23 s. - rys., tab. - Summ. - Bibliogr. 107 poz.",19,11,,,23,Springer,Cham,2019
"Varazdin : Varazdin Development and Entrepreneurship Agency, 2019","663 s. : rys., tab. ; Bibliogr. przy rozdz.",,,,,663,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
"Lublin : Wydawnictwo Uniwersytetu Marii Curie-Skłodowskiej, 2019","2019, vol. 123, iss. 10 s. 906-911 - rys., tab. - Summ. - Bibliogr. 21 poz.",10,123,,906-911,10,Wydawnictwo Uniwersytetu Marii Curie-Skłodowskiej,Lublin,2019
"Varazdin : Varazdin Development and Entrepreneurship Agency, 2019",1610 s.,,,,,1610,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
"Częstochowa : Wydawnictwo Politechniki Częstochowskiej, 2019","2019, vol. 63, nr 7 s. 25-34 - Streszcz., summ. - Bibliogr. 32 poz.",7,63,,25-34,7,Wydawnictwo Politechniki Częstochowskiej,Częstochowa,2019
"Cham : Springer, 2019","S. 1543-1548 - summ., tab. - Bibliogr. 10 poz.",,,,1543-1548,,Springer,Cham,2019
"Warszawa : Wydawnictwo SGGW, 2019",S. 13-24,,,,13-24,,Wydawnictwo SGGW,Warszawa,2019
"Warszawa : Wydawnictwo SGGW, 2019","144 s. ; rys., tab., Bibliogr. po art.",,,,,144,Wydawnictwo SGGW,Warszawa,2019
"Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019","S. 163-177 - rys., tab. - Bibliogr. 36 poz.",,,,163-177,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
"Warszawa : Wydawnictwo SGGW, 2019",282 s.,,,,,282,Wydawnictwo SGGW,Warszawa,2019
"Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019",S. 27-28,,,,27-28,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
"Warszawa : Wydawnictwo SGGW, 2019","2019, z. 176 s. 137-153 - rys., tab. - Streszcz., summ. - Bibliogr. 58 poz.",,,,137-153,176,Wydawnictwo SGGW,Warszawa,2019
"Warszawa : Wydawnictwo SGGW, 2019","2019, vol. 14 s. 29-43 - rys., tab. - Summ. - Bibliogr. 14 poz.",,14,,29-43,14,Wydawnictwo SGGW,Warszawa,2019
"Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019",S. 276-285 - Bibliogr. 35 poz.,,,,276-285,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
"Warszawa : Wydawnictwo SGGW, 2019",135 s. ; Bibliogr. po rozdz.,,,,,135,Wydawnictwo SGGW,Warszawa,2019
"Katowice : Publishing House of the University of Economics in Katowice, 2019","2019, vol. 11, iss. 11 (3086) 15 s. - rys., tab. - Summ. - Bibliogr. 58 poz.",11,11,,,15,Publishing House of the University of Economics in Katowice,Katowice,2019
"Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019","S. 231-240 - rys., tab. - Bibliogr. 13 poz.",,,,231-240,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
"Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019",214 s.,,,,,214,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
"Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019",1390 s. ; Bibliogr. przy rozdz.,,,,,1390,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
"Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019",S. 19-20,,,,19-20,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
"Warszawa : Polskie Wydawnictwo Ekonomiczne, 2019",S. 18,,,,,18,Polskie Wydawnictwo Ekonomiczne,Warszawa,2019
"Kraków : Akademia Wychowania Fizycznego im. Bronisława Czecha w Krakowie, 2019","S. 76-92 - streszcz., summ. - Bibliogr. 63 poz.",,,,76-92,,Akademia Wychowania Fizycznego im. Bronisława Czecha w Krakowie,Kraków,2019
"Warszawa : Oficyna Wydawnicza SGH - Szkoła Główna Handlowa w Warszawie, 2019",S. 732-750 - Bibliogr. 29 poz.,,,,732-750,,Oficyna Wydawnicza SGH - Szkoła Główna Handlowa w Warszawie,Warszawa,2019
"Cham : Springer International Publishing, 2019","S. 115-126 - rys., tab. - Bibliogr. 11 poz.",,,,115-126,,Springer International Publishing,Cham,2019
"Wrocław : Presscom, 2019","2019, nr 2 (52) s. 41-57 - rys., tab. - Streszcz., summ. - Bibliogr. 51 poz.",2,,,41-57,,Presscom,Wrocław,2019
"Cham : Springer International Publishing, 2019",261 s.,,,,,261,Springer International Publishing,Cham,2019
"Kraków : Akademia Wychowania Fizycznego im. Bronisława Czecha w Krakowie, 2019","2019, vol. 11, iss. 11 24 s. (3090) - tab. - Summ. - Bibliogr. 102 s.",11,11,,,24,Akademia Wychowania Fizycznego im. Bronisława Czecha w Krakowie,Kraków,2019
"Warszawa : Oficyna Wydawnicza SGH - Szkoła Główna Handlowa w Warszawie, 2019","2019, vol. 4, iss. 1 s. 35-40 - rys., tab. - Summ. - Bibliogr. 16 poz.",1,4,,35-40,1,Oficyna Wydawnicza SGH - Szkoła Główna Handlowa w Warszawie,Warszawa,2019
"Varazdin : Varazdin Development and Entrepreneurship Agency, 2019",176 s. ; Bibliogr. przy rozdz.,,,,,176,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
"Warsaw : Faculty of Management University of Warsaw, 2019","S. 9-24 - rys., tab. - Bibliogr. 21 poz.",,,,9-24,,Faculty of Management University of Warsaw,Warsaw,2019
"Rabat : Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat, 2019","S. 129-139 - rys., streszcz., summ., tab. - Bibliogr. 17 poz.",,,,129-139,,"Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat",Rabat,2019
"Łódź : Wydawnictwo Uniwersytetu Łódzkiego, 2019",204 s.,,,,,204,Wydawnictwo Uniwersytetu Łódzkiego,Łódź,2019
"Varazdin : Varazdin Development and Entrepreneurship Agency, 2019",S. 107-118,,,,107-118,,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
"Varazdin : Varazdin Development and Entrepreneurship Agency, 2019",S. 191-204,,,,191-204,,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
"Koprivnica : University North, 2019",S. 68-79 - Bibliogr. 12 poz.,,,,68-79,,University North,Koprivnica,2019
"Warsaw : Faculty of Management University of Warsaw, 2019","2019, vol. 63, nr 7 s. 217-229 - rys., tab. - Streszcz., summ. - Bibliogr. 16 poz.",7,63,,217-229,7,Faculty of Management University of Warsaw,Warsaw,2019
"Rabat : Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat, 2019","2019, vol. 24, iss. 1 s. 155-177 - Bibliogr. 70 poz.",1,24,,155-177,1,"Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat",Rabat,2019
"Warszawa : Stowarzyszenie Księgowych w Polsce - Zarząd Główny. Instytut Certyfikacji Zawodowej Księgowych, 2019","2019, t. 66, z. 1 s. 84-93 - tab. - Streszcz., summ. - Bibliogr. 15 poz.",,66,,84-93,1,Stowarzyszenie Księgowych w Polsce - Zarząd Główny. Instytut Certyfikacji Zawodowej Księgowych,Warszawa,2019
"Warszawa : Stowarzyszenie Księgowych w Polsce - Zarząd Główny. Instytut Certyfikacji Zawodowej Księgowych, 2019","2019, Vol. 24 Issue: 3 s. 334-354 - rys., tab., zał. - Summ. - Bibliogr. 155 poz.",,24,,334-354,3,Stowarzyszenie Księgowych w Polsce - Zarząd Główny. Instytut Certyfikacji Zawodowej Księgowych,Warszawa,2019
"Warszawa : Instytut Rozwoju Wsi i Rolnictwa Polskiej Akademii Nauk ; Wydawnictwo Naukowe Scholar, 2019",S. 248,,,,248,248,Instytut Rozwoju Wsi i Rolnictwa Polskiej Akademii Nauk ; Wydawnictwo Naukowe Scholar,Warszawa,2019
"Varazdin : Varazdin Development and Entrepreneurship Agency, 2019",S. 9-24,,,,9-24,,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
"Warsaw : Faculty of Management University of Warsaw, 2019","2019, vol. 63, nr 7 s. 58-70 - tab. - Streszcz., summ. - Bibliogr. 31 poz.",7,63,,58-70,7,Faculty of Management University of Warsaw,Warsaw,2019
"Rabat : Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat, 2019","2019, nr 5 s. 21-27 - tab. - Streszcz., summ. - Bibliogr. 52 poz.",5,,,21-27,5,"Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat",Rabat,2019
"Reading : Academic Conferences and Publishing International Limited, 2019","2019, vol. 63, nr 7 s. 172-183 - Streszcz., summ. - Bibliogr. 29 poz.",7,63,,172-183,7,Academic Conferences and Publishing International Limited,Reading,2019
"Częstochowa : Publishing Office of Czestochowa University of Technology, 2019",S. 144-155 - Bibliogr. 26 poz.,,,,144-155,,Publishing Office of Czestochowa University of Technology,Częstochowa,2019
"Lublin : Wydawnictwo Uniwersytetu Marii Curie-Skłodowskiej, 2019",S. 156-174 - fot. - Bibliogr. 28 poz.,,,,156-174,,Wydawnictwo Uniwersytetu Marii Curie-Skłodowskiej,Lublin,2019
"Warszawa : Instytut Rozwoju Wsi i Rolnictwa Polskiej Akademii Nauk ; Wydawnictwo Naukowe Scholar, 2019","2019, no. 139 s. 607-619 - rys., tab. - Summ. - Bibliogr. 17 poz.",139,,,607-619,139,Instytut Rozwoju Wsi i Rolnictwa Polskiej Akademii Nauk ; Wydawnictwo Naukowe Scholar,Warszawa,2019
"Radom : Wydawnictwo Naukowe Instytutu Technologii Eksploatacji Państwowego Instytutu Badawczego, 2019","2019, vol. 6 (345) s. 111-125 - rys., tab. - Streszcz., summ. - Bibliogr. 17 poz.",345,6,,111-125,,Wydawnictwo Naukowe Instytutu Technologii Eksploatacji Państwowego Instytutu Badawczego,Radom,2019
"Varazdin : Varazdin Development and Entrepreneurship Agency, 2019","2019, nr 1 (25) s. 49-63 - Streszcz., summ. - Bibliogr. 12 poz.",1,,,49-63,,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
"Belgrade : Megatrend University, 2019",481 s. ; bibliogr. przy rozdz.,,,,,481,Megatrend University,Belgrade,2019
"Koprivnica : University North, 2019","2019, nr 1 (25) s. 65-85 - rys., tab. - Streszcz., summ. - Bibliogr. 54 poz.",1,,,65-85,,University North,Koprivnica,2019
"Warsaw : Faculty of Management University of Warsaw, 2019","2019, vol. 16, iss. 1 s. 91-97 - rys., tab. - Summ. - Bibliogr. 12 poz.",1,16,,91-97,1,Faculty of Management University of Warsaw,Warsaw,2019
"Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019","2019, vol. 16, iss. 1 s. 137-147 - rys., tab. - Summ. - Bibliogr. 39 poz.",1,16,,137-147,1,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
"Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019","266 s. : rys., tab. ; Bibliogr. przy rozdz.",,,,,266,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
"Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019","298 s. : tab., Bibliogr. 547 poz., s. 241-277",,,,241-277,298,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
"Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019","2019, nr 1 (51) s. 193-206 - Streszcz., summ. - Bibliogr. 31 poz.",1,,,193-206,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
"Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019",S. 61-74 - Bibliogr. 46 poz.,,,,61-74,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
"Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019",S. 245-252 - streszcz.,,,,245-252,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
"Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019","2019, nr 2 (52) s. 97-108 - Streszcz., summ. - Bibliogr. 20 poz.",2,,,97-108,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
"Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019","2019, nr 5 s. 3-9 - rys., tab. - Streszcz. - Bibliogr. 35 poz.",5,,,3-9,5,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
"Varazdin : Varazdin Development and Entrepreneurship Agency, 2019",S. 153-168 - summ.,,,,153-168,,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
"Belgrade : Megatrend University, 2019","2019, vol. 16, iss. 1 s. 70-79 - tab. - Summ. - Bibliogr. 20 poz.",1,16,,70-79,1,Megatrend University,Belgrade,2019
"Koprivnica : University North, 2019","2019, vol. 83, iss. 1 s. 50-62 - summ. - Bibliogr. 56 poz.",1,83,,50-62,1,University North,Koprivnica,2019
